INFO  bundle served: current (data-src present)
PASS  no JS errors on load (clean)
PASS  projects heading is honest ("הפרויקטים")
PASS  project list rendered (7 tiles)
PASS  helpdesk: preview renders a real screenshot
PASS  helpdesk: the screenshot file loaded (naturalWidth=1920)
PASS  helpdesk: preview holds 16/10 (measured 1.596)
PASS  helpdesk: iframe points at the published build (https://ruti-maman.github.io/project/)
PASS  helpdesk: the loading veil lifted
PASS  helpdesk: the app rendered content (48 chars)
PASS  helpdesk: shows its own UI (found "התחברות")
PASS  taskman: preview renders a real screenshot
PASS  taskman: the screenshot file loaded (naturalWidth=1920)
PASS  taskman: preview holds 16/10 (measured 1.596)
PASS  taskman: iframe points at the published build (https://ruti-maman.github.io/Task-manager/teams/1/projects/1/tasks)
PASS  taskman: the loading veil lifted
PASS  taskman: the app rendered content (582 chars)
PASS  taskman: shows its own UI (found "Tasks")
PASS  memory: preview renders a real screenshot
PASS  memory: the screenshot file loaded (naturalWidth=1920)
PASS  memory: preview holds 16/10 (measured 1.596)
PASS  memory: iframe points at the published build (https://ruti-maman.github.io/memory-game/)
PASS  memory: the loading veil lifted
PASS  memory: the app rendered content (62 chars)
PASS  memory: shows its own UI (found "ברוכים")

ALL CHECKS PASSED
PASS  textcli: request became the right command
PASS  textcli: command was checked against the allowlist
PASS  textcli: sandboxed run finished
PASS  textcli: destructive request was BLOCKED
PASS  textcli: destructive request was not validated
PASS  textcli: destructive request never ran
PASS  textcli: "צור תיקיה חדשה" → mkdir -p
PASS  textcli: "צור תיקיה חדשה" is not unknown
PASS  textcli: "צרי לי קובץ חדש בשם משהו" → touch
PASS  textcli: "צרי לי קובץ חדש בשם משהו" is not unknown
PASS  textcli: "העתק את הדוח לגיבוי" → cp
PASS  textcli: "העתק את הדוח לגיבוי" is not unknown
PASS  textcli: "עצור את התהליך שתקוע" → kill -TERM
PASS  textcli: "עצור את התהליך שתקוע" is not unknown
PASS  textcli: "תורידי לי את הקובץ מהאתר" → curl -LO
PASS  textcli: "תורידי לי את הקובץ מהאתר" is not unknown
PASS  textcli: an unmatched request says so instead of inventing a command
PASS  outlook: empty recipients rejected with 400
PASS  outlook: the error is her API's actual error
PASS  outlook: the form actually POSTs to /drafts
PASS  outlook: the win32com hop is shown
PASS  outlook: the attachment is attached
PASS  outlook: a draft opened for the first recipient
PASS  outlook: a draft opened for the second recipient
PASS  outlook: her API's response shape, count 2

ALL DEMO CHECKS PASSED
